author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
"Mulagala Sandhya, Munaga V. N. K. Prasad",A hybrid technique to secure fingerprint templates using Delaunay neighbour structures.,,2016,319-335,https://doi.org/10.1504/IJTMCC.2016.10005484,,,,Int. J. Trust. Manag. Comput. Commun.,3,4,,db/journals/ijtmcc/ijtmcc3.html#SandhyaP16,,,,,,,,,
"Leila Kheroua, Samira Moussaoui, Louiza Mansour",EDARD: efficient data access based on rumour dissemination in wireless sensor networks.,,2013,73-84,https://doi.org/10.1504/IJTMCC.2013.052526,,,,Int. J. Trust. Manag. Comput. Commun.,1,1,,db/journals/ijtmcc/ijtmcc1.html#KherouaMM13,,,,,,,,,
"Mrutyunjaya Panda, Ajith Abraham",Development of a reliable trust management model in social internet of things.,,2014,229-258,https://doi.org/10.1504/IJTMCC.2014.067305,,,,Int. J. Trust. Manag. Comput. Commun.,2,3,,db/journals/ijtmcc/ijtmcc2.html#PandaA14,,,,,,,,,
"Appala Naidu Tentu, Prabal Paul, V. Ch. Venkaiah",Computationally perfect compartmented secret sharing schemes based on MDS codes.,,2014,353-378,https://doi.org/10.1504/IJTMCC.2014.067378,,,,Int. J. Trust. Manag. Comput. Commun.,2,4,,db/journals/ijtmcc/ijtmcc2.html#TentuPV14,,,,,,,,,
"Ying Gao, Lingxi Peng, Fufang Li, Miao Liu 0005, Waixi Liu",Archimedean copula-based estimation of distribution algorithm for multi-objective optimisation.,,2013,200-211,https://doi.org/10.1504/IJTMCC.2013.056430,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#GaoPLLL13,,,,,,,,,
"Manoj V. Thomas, K. Chandra Sekaran",Agent-based approach for identity and access management in the inter-cloud environments.,,2014,125-149,https://doi.org/10.1504/IJTMCC.2014.064144,,,,Int. J. Trust. Manag. Comput. Commun.,2,2,,db/journals/ijtmcc/ijtmcc2.html#ThomasS14,,,,,,,,,
"Subhas Barman, Utpal Pal, Md. Asif Sarfaraj, Biswajit Biswas, Animesh Mahata, Palash Mandal",A complete literature review on financial fraud detection applying data mining techniques.,,2016,336-359,https://doi.org/10.1504/IJTMCC.2016.10005490,,,,Int. J. Trust. Manag. Comput. Commun.,3,4,,db/journals/ijtmcc/ijtmcc3.html#BarmanPSBMM16,,,,,,,,,
"Varun Dutt, Amanjot Kaur","Cyber security: testing the effects of attack strategy, similarity, and experience on cyber attack detection.",,2013,261-273,https://doi.org/10.1504/IJTMCC.2013.056428,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#DuttK13,,,,,,,,,
"Bahia Zebbane, Manel Chenait, Nadjib Badache",GTC: a geographical topology control protocol to conserve energy in wireless sensor networks.,,2013,320-340,https://doi.org/10.1504/IJTMCC.2013.056446,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#ZebbaneCB13,,,,,,,,,
"Korra Sathya Babu, Rajesh Pillelli, Sanjay Kumar Jena",Enhanced t-closeness for balancing utility and privacy.,,2013,230-242,https://doi.org/10.1504/IJTMCC.2013.056427,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#BabuPJ13,,,,,,,,,
"Deepnarayan Tiwari, G. R. Gangadharan, Maode Ma",Secure delegation of services through proxy signature with revocation.,,2016,291-318,https://doi.org/10.1504/IJTMCC.2016.10005483,,,,Int. J. Trust. Manag. Comput. Commun.,3,4,,db/journals/ijtmcc/ijtmcc3.html#TiwariGM16,,,,,,,,,
"Jerzy Konorski, Piotr Pacyna, Grzegorz Kolaczek, Zbigniew Kotulski, Krzysztof Cabaj, Pawel Szalachowski",Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,,2013,274-299,https://doi.org/10.1504/IJTMCC.2013.056431,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#KonorskiPKKCS13,,,,,,,,,
"Surya Nepal, Cécile Paris, Sanat Kumar Bista, Wanita Sherchan",A trust model-based analysis of social networks.,,2013,22-Mar,https://doi.org/10.1504/IJTMCC.2013.052522,,,,Int. J. Trust. Manag. Comput. Commun.,1,1,,db/journals/ijtmcc/ijtmcc1.html#NepalPBS13,,,,,,,,,
"C. Balarengadurai, S. Saraswathi",Fuzzy logic-based detection of DDoS attacks in IEEE 802.15.4 low rate wireless personal area network.,,2013,243-260,https://doi.org/10.1504/IJTMCC.2013.056424,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#BalarengaduraiS13,,,,,,,,,
"Arti Dwivedi, Ashok Kumar Mittal, Suneet Dwivedi",Role of parameter adaptation in chaotic communication.,,2015,115-146,https://doi.org/10.1504/IJTMCC.2015.076953,,,,Int. J. Trust. Manag. Comput. Commun.,3,2,,db/journals/ijtmcc/ijtmcc3.html#DwivediMD15,,,,,,,,,
"Mukesh Kumar Saini, Pradeep K. Atrey, Sharad Mehrotra, Mohan S. Kankanhalli",Privacy aware publication of surveillance video.,,2013,23-51,https://doi.org/10.1504/IJTMCC.2013.052523,,,,Int. J. Trust. Manag. Comput. Commun.,1,1,,db/journals/ijtmcc/ijtmcc1.html#SainiAMK13,,,,,,,,,
"Munaga V. N. K. Prasad, Jaipal Reddy Anugu",Multi-algorithmic fingerprint model for cancellable template generation.,,2016,224-245,https://doi.org/10.1504/IJTMCC.2016.10002818,,,,Int. J. Trust. Manag. Comput. Commun.,3,3,,db/journals/ijtmcc/ijtmcc3.html#PrasadA16,,,,,,,,,
"Vimal Kumar 0002, Rakesh Kumar, Jitendra Singh",An efficient and secure RSA-based certificateless signature scheme for wireless sensor networks.,,2017,17-35,https://doi.org/10.1504/IJTMCC.2017.10010538,,,,Int. J. Trust. Manag. Comput. Commun.,4,1,,db/journals/ijtmcc/ijtmcc4.html#KumarKS17,,,,,,,,,
Kenneth David Strang,Socio-cultural distrust of internet information.,,2018,95-110,https://doi.org/10.1504/IJTMCC.2018.095608,,,,Int. J. Trust. Manag. Comput. Commun.,4,2,,db/journals/ijtmcc/ijtmcc4.html#Strang18,,,,,,,,,
"Santanu Chatterjee, Ashok Kumar Das, Jamuna Kanta Sing",A survey on user access control in wireless sensor networks with formal security verification.,,2014,259-295,https://doi.org/10.1504/IJTMCC.2014.067303,,,,Int. J. Trust. Manag. Comput. Commun.,2,3,,db/journals/ijtmcc/ijtmcc2.html#ChatterjeeDS14,,,,,,,,,
"Syed S. Rizvi, Kelsey Karpinski, Brennen Kelly, Taryn Walker",A user oriented cloud security evaluation framework.,,2015,168-192,https://doi.org/10.1504/IJTMCC.2015.076966,,,,Int. J. Trust. Manag. Comput. Commun.,3,2,,db/journals/ijtmcc/ijtmcc3.html#RizviKKW15,,,,,,,,,
"Kapil Sharma, Brijesh Kumar Chaurasia, Shekhar Verma, Arpita Bhargava",Trust computation in VANET using TOEFV.,,2017,36-51,https://doi.org/10.1504/IJTMCC.2017.10010539,,,,Int. J. Trust. Manag. Comput. Commun.,4,1,,db/journals/ijtmcc/ijtmcc4.html#SharmaCVB17,,,,,,,,,
"Albert Rego, Christos Gkountis, Laura García, Jaime Lloret 0001",A new proposal for trust management in wireless sensor networks based on validation.,,2017,16-Jan,https://doi.org/10.1504/IJTMCC.2017.10010537,,,,Int. J. Trust. Manag. Comput. Commun.,4,1,,db/journals/ijtmcc/ijtmcc4.html#RegoGGL17,,,,,,,,,
"Hisham Salah, Mohamed Eltoweissy",Personalised reconfigurable trust management.,,2018,132-171,https://doi.org/10.1504/IJTMCC.2018.095612,,,,Int. J. Trust. Manag. Comput. Commun.,4,2,,db/journals/ijtmcc/ijtmcc4.html#SalahE18,,,,,,,,,
"Jens Müller 0002, Klemens Böhm",Identity business processes.,,2014,40-77,https://doi.org/10.1504/IJTMCC.2014.063274,,,,Int. J. Trust. Manag. Comput. Commun.,2,1,,db/journals/ijtmcc/ijtmcc2.html#0002B14,,,,,,,,,
"Siani Pearson, Nick Wainwright",An interdisciplinary approach to accountability for future internet service provision.,,2013,52-72,https://doi.org/10.1504/IJTMCC.2013.052524,,,,Int. J. Trust. Manag. Comput. Commun.,1,1,,db/journals/ijtmcc/ijtmcc1.html#PearsonW13,,,,,,,,,
"Nishanth Augustine, Sudhish N. George, Deepthi P. Pattathil",An audio encryption technique through compressive sensing and Arnold transform.,,2015,74-92,https://doi.org/10.1504/IJTMCC.2015.072467,,,,Int. J. Trust. Manag. Comput. Commun.,3,1,,db/journals/ijtmcc/ijtmcc3.html#AugustineGP15,,,,,,,,,
"A. Pravin Renold, S. Geethanjali",A trust-based AODV routing protocol for improved QoS in mobile ad-hoc networks.,,2014,21-Jul,https://doi.org/10.1504/IJTMCC.2014.063270,,,,Int. J. Trust. Manag. Comput. Commun.,2,1,,db/journals/ijtmcc/ijtmcc2.html#RenoldG14,,,,,,,,,
"Agrima Srivastava, G. Geethakumari",Privacy landscape in online social networks.,,2015,19-39,https://doi.org/10.1504/IJTMCC.2015.072461,,,,Int. J. Trust. Manag. Comput. Commun.,3,1,,db/journals/ijtmcc/ijtmcc3.html#SrivastavaG15,,,,,,,,,
Al-Sakib Khan Pathan,Editorial article: On the boundaries of trust and security in computing and communications systems.,,2014,6-Jan,https://doi.org/10.1504/IJTMCC.2014.063272,,,,Int. J. Trust. Manag. Comput. Commun.,2,1,,db/journals/ijtmcc/ijtmcc2.html#Pathan14,,,,,,,,,
"Vanga Odelu, Ashok Kumar Das, Adrijit Goswami",A novel linear polynomial-based dynamic key management scheme for hierarchical access control.,,2013,156-174,https://doi.org/10.1504/IJTMCC.2013.053278,,,,Int. J. Trust. Manag. Comput. Commun.,1,2,,db/journals/ijtmcc/ijtmcc1.html#OdeluDG13,,,,,,,,,
"Dheerendra Mishra, Sourav Mukhopadhyay",A privacy enabling content distribution framework for digital rights management.,,2014,22-39,https://doi.org/10.1504/IJTMCC.2014.063271,,,,Int. J. Trust. Manag. Comput. Commun.,2,1,,db/journals/ijtmcc/ijtmcc2.html#MishraM14,,,,,,,,,
"K. P. Krishna Kumar, G. Geethakumari",Analysis and modelling of semantic attacks in online social networks.,,2014,207-228,https://doi.org/10.1504/IJTMCC.2014.067306,,,,Int. J. Trust. Manag. Comput. Commun.,2,3,,db/journals/ijtmcc/ijtmcc2.html#KumarG14,,,,,,,,,
Jared Oluoch,A theoretical framework for trust management in vehicular ad hoc networks.,,2015,147-167,https://doi.org/10.1504/IJTMCC.2015.076961,,,,Int. J. Trust. Manag. Comput. Commun.,3,2,,db/journals/ijtmcc/ijtmcc3.html#Oluoch15,,,,,,,,,
"Soon-Keow Chong, Jemal H. Abawajy",Mitigating malicious feedback attacks in trust management systems.,,2015,18-Jan,https://doi.org/10.1504/IJTMCC.2015.072455,,,,Int. J. Trust. Manag. Comput. Commun.,3,1,,db/journals/ijtmcc/ijtmcc3.html#ChongA15,,,,,,,,,
"Md. Imran Alam, Raju Halder",Refining dependencies for information flow analysis of database applications.,,2016,193-223,https://doi.org/10.1504/IJTMCC.2016.10002816,,,,Int. J. Trust. Manag. Comput. Commun.,3,3,,db/journals/ijtmcc/ijtmcc3.html#AlamH16,,,,,,,,,
"Suparna Biswas, Priyanka Dey, Sarmistha Neogy",Improved recovery probability of mobile hosts using energy and mobility-based secure checkpointing-recovery.,,2014,379-405,https://doi.org/10.1504/IJTMCC.2014.067360,,,,Int. J. Trust. Manag. Comput. Commun.,2,4,,db/journals/ijtmcc/ijtmcc2.html#BiswasDN14,,,,,,,,,
"Guillaume Bouffard, Bhagyalekshmy N. Thampi, Jean-Louis Lanet",Security automaton to mitigate laser-based fault attacks on smart cards.,,2014,185-205,https://doi.org/10.1504/IJTMCC.2014.064158,,,,Int. J. Trust. Manag. Comput. Commun.,2,2,,db/journals/ijtmcc/ijtmcc2.html#BouffardTL14,,,,,,,,,
"Geetha Meera, BKSP Kumar Raju Alluri, G. Geethakumari",CEAT: a cloud evidence acquisition tool for aiding forensic investigations in cloud systems.,,2016,360-372,https://doi.org/10.1504/IJTMCC.2016.10005491,,,,Int. J. Trust. Manag. Comput. Commun.,3,4,,db/journals/ijtmcc/ijtmcc3.html#MeeraAG16,,,,,,,,,
"Anant V. Nimkar, Soumya K. Ghosh 0001",Caucus: an authentication protocol for cloud federation.,,2018,111-131,https://doi.org/10.1504/IJTMCC.2018.095609,,,,Int. J. Trust. Manag. Comput. Commun.,4,2,,db/journals/ijtmcc/ijtmcc4.html#NimkarG18,,,,,,,,,
"K. Senthil Kumar, Debi Prasanna Acharjya, Arunkumar Thangavelu",Trust evaluation using fuzzy proximity relation with ordering for MANET.,,2013,105-120,https://doi.org/10.1504/IJTMCC.2013.053259,,,,Int. J. Trust. Manag. Comput. Commun.,1,2,,db/journals/ijtmcc/ijtmcc1.html#KumarAT13,,,,,,,,,
"Enrico Cambiaso, Gianluca Papaleo, Giovanni Chiola, Maurizio Aiello",Slow DoS attacks: definition and categorisation.,,2013,300-319,https://doi.org/10.1504/IJTMCC.2013.056440,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#CambiasoPCA13,,,,,,,,,
"Rangareddy Jayashree, A. Christy, S. Venkatesh",Personalised recommendation system for ranking in question-answering websites with splay tree by avoiding tumbleweed badge.,,2018,172-191,https://doi.org/10.1504/IJTMCC.2018.095621,,,,Int. J. Trust. Manag. Comput. Commun.,4,2,,db/journals/ijtmcc/ijtmcc4.html#JayashreeCV18,,,,,,,,,
"Nilesh Chakraborty, Samrat Mondal",I-SLASS: an improved login approach over SLASS.,,2014,309-329,https://doi.org/10.1504/IJTMCC.2014.067375,,,,Int. J. Trust. Manag. Comput. Commun.,2,4,,db/journals/ijtmcc/ijtmcc2.html#ChakrabortyM14,,,,,,,,,
"Nilesh Chakraborty, Samrat Mondal",HoneyString: an improved methodology over tag digit-based honeypot to detect shoulder surfing attack.,,2015,93-114,https://doi.org/10.1504/IJTMCC.2015.076952,,,,Int. J. Trust. Manag. Comput. Commun.,3,2,,db/journals/ijtmcc/ijtmcc3.html#ChakrabortyM15,,,,,,,,,
"Kamel Saddiki, Sofiane Boukli Hacene, Pascal Lorenz, Marc Gilg",Black hole attack detection and ignoring in OLSR protocol.,,2017,75-93,https://doi.org/10.1504/IJTMCC.2017.10010575,,,,Int. J. Trust. Manag. Comput. Commun.,4,1,,db/journals/ijtmcc/ijtmcc4.html#SaddikiHLG17,,,,,,,,,
"Soumendu Chakraborty, Anand Singh Jalal, Charul Bhatnagar",An efficient bit plane X-OR algorithm for irreversible image steganography.,,2013,140-155,https://doi.org/10.1504/IJTMCC.2013.053263,,,,Int. J. Trust. Manag. Comput. Commun.,1,2,,db/journals/ijtmcc/ijtmcc1.html#ChakrabortyJB13,,,,,,,,,
"Sarbari Mitra, Ratna Dutta, Sourav Mukhopadhyay",A deterministic key pre-distribution scheme for WSN using projective planes and their complements.,,2014,150-184,https://doi.org/10.1504/IJTMCC.2014.064157,,,,Int. J. Trust. Manag. Comput. Commun.,2,2,,db/journals/ijtmcc/ijtmcc2.html#MitraDM14,,,,,,,,,
"Eric D. Kameni, Theo P. van der Weide",Intrusion detection in a trust-based recommendation system.,,2017,52-74,https://doi.org/10.1504/IJTMCC.2017.10010543,,,,Int. J. Trust. Manag. Comput. Commun.,4,1,,db/journals/ijtmcc/ijtmcc4.html#KameniW17,,,,,,,,,
"B. R. Purushothama, B. B. Amberker",Secure group key management scheme for simultaneous multiple groups with overlapped memberships using binomial key tree with new approach to key distribution and key computation.,,2013,175-198,https://doi.org/10.1504/IJTMCC.2013.053279,,,,Int. J. Trust. Manag. Comput. Commun.,1,2,,db/journals/ijtmcc/ijtmcc1.html#PurushothamaA13,,,,,,,,,
"Punam Bedi, V. Aakanksha, Richa Sharma",Trust and context view-based knowledge sharing in MANets.,,2013,85-103,https://doi.org/10.1504/IJTMCC.2013.052527,,,,Int. J. Trust. Manag. Comput. Commun.,1,1,,db/journals/ijtmcc/ijtmcc1.html#BediAS13,,,,,,,,,
"Munaga V. N. K. Prasad, Ilaiah Kavati",Hand vein authentication system using connected minutiae neighbours.,,2014,296-308,https://doi.org/10.1504/IJTMCC.2014.067304,,,,Int. J. Trust. Manag. Comput. Commun.,2,3,,db/journals/ijtmcc/ijtmcc2.html#PrasadK14,,,,,,,,,
"Rawya Rizk, Marwa Gamal, Mahmoud Mariee",Selective opportunistic routing based on QoS in wireless mesh network.,,2013,212-229,https://doi.org/10.1504/IJTMCC.2013.056425,,,,Int. J. Trust. Manag. Comput. Commun.,1,4-Mar,,db/journals/ijtmcc/ijtmcc1.html#RizkGM13,,,,,,,,,
"V. Geetha, K. Chandrasekaran",TFSR: trust factors evaluation-based secure routing protocol for wireless sensor network.,,2015,40-73,https://doi.org/10.1504/IJTMCC.2015.072465,,,,Int. J. Trust. Manag. Comput. Commun.,3,1,,db/journals/ijtmcc/ijtmcc3.html#GeethaC15,,,,,,,,,
"Christian Callegari, Stefano Giordano, Michele Pagano, Gregorio Procissi",A secure and privacy-preserving approach to communications in smart grids.,,2016,269-290,https://doi.org/10.1504/IJTMCC.2016.10002840,,,,Int. J. Trust. Manag. Comput. Commun.,3,3,,db/journals/ijtmcc/ijtmcc3.html#CallegariGPP16,,,,,,,,,
"Srisatja Vitayasak, Pupong Pongcharoen, Christian Hicks",Robust machine layout design under dynamic environment: Dynamic customer demand and machine maintenance.,,2019,100015,https://doi.org/10.1016/j.eswax.2019.100015,,,,Expert Syst. Appl. X,3,,,db/journals/eswax/eswax3.html#VitayasakPH19,,,,,,,,,
"Nasrin Kalanat, Eynollah Khanjari",Extracting actionable knowledge from social networks with node attributes.,,2019,100013,https://doi.org/10.1016/j.eswax.2019.100013,,,,Expert Syst. Appl. X,3,,,db/journals/eswax/eswax3.html#KalanatK19,,,,,,,,,
"Maryam Asadzadeh Kaljahi, Palaiahnakote Shivakumara, Tianping Hu, Hamid A. Jalab, Rabha W. Ibrahim, Michael Blumenstein, Tong Lu, Mohamad Nizam Bin Ayub",A geometric and fractional entropy-based method for family photo classification.,,2019,100008,https://doi.org/10.1016/j.eswax.2019.100008,,,,Expert Syst. Appl. X,3,,,db/journals/eswax/eswax3.html#KaljahiSHJIBLA19,,,,,,,,,
"Smruti Rekha Das, Debahuti Mishra, Minakhi Rout",Stock market prediction using Firefly algorithm with evolutionary framework optimized feature reduction for OSELM method.,,2019,100016,https://doi.org/10.1016/j.eswax.2019.100016,,,,Expert Syst. Appl. X,4,,,db/journals/eswax/eswax4.html#DasMR19,,,,,,,,,
"Sung Hoon Lim, Conrad S. Tucker",Mining Twitter data for causal links between tweets and real-world outcomes.,,2019,100007,https://doi.org/10.1016/j.eswax.2019.100007,,,,Expert Syst. Appl. X,3,,,db/journals/eswax/eswax3.html#LimT19,,,,,,,,,
"Jing Jiang, Huaifeng Zhang, Dechang Pi, Chenglong Dai",A novel multi-module neural network system for imbalanced heartbeats classification.,,2019,100003,https://doi.org/10.1016/j.eswax.2019.100003,,,,Expert Syst. Appl. X,1,,,db/journals/eswax/eswax1.html#JiangZPD19,,,,,,,,,
"Georgios Kontonatsios, Sally Spencer, Peter Matthew, Ioannis Korkontzelos",Using a neural network-based feature extraction method to facilitate citation screening for systematic reviews.,,2020,100030,https://doi.org/10.1016/j.eswax.2020.100030,,,,Expert Syst. Appl. X,6,,,db/journals/eswax/eswax6.html#KontonatsiosSMK20,,,,,,,,,
"Tobias Baum, Steffen Herbold, Kurt Schneider",GIMO: A multi-objective anytime rule mining system to ease iterative feedback from domain experts.,,2020,100040,https://doi.org/10.1016/j.eswax.2020.100040,,,,Expert Syst. Appl. X,8,,,db/journals/eswax/eswax8.html#BaumHS20,,,,,,,,,
"Zahra Ebrahimi, Mohammad Loni, Masoud Daneshtalab, Arash Gharehbaghi",A review on deep learning methods for ECG arrhythmia classification.,,2020,100033,https://doi.org/10.1016/j.eswax.2020.100033,,,,Expert Syst. Appl. X,7,,,db/journals/eswax/eswax7.html#EbrahimiLDG20,,,,,,,,,
"Wei Li 0120, Ju Huyan, Liyang Xiao, Susan L. Tighe, Lili Pei",International roughness index prediction based on multigranularity fuzzy time series and particle swarm optimization.,,2019,100006,https://doi.org/10.1016/j.eswax.2019.100006,,,,Expert Syst. Appl. X,2,,,db/journals/eswax/eswax2.html#LiHXTP19,,,,,,,,,
"Peter Burggräf, Johannes Wagner 0004, Tim Weißer",Knowledge-based problem solving in physical product development--A methodological review.,,2020,100025,https://doi.org/10.1016/j.eswax.2020.100025,,,,Expert Syst. Appl. X,5,,,db/journals/eswax/eswax5.html#BurggrafWW20,,,,,,,,,
"Yan Wang 0064, Shuang Cang, Hongnian Yu",Mutual information inspired feature selection using kernel canonical correlation analysis.,,2019,100014,https://doi.org/10.1016/j.eswax.2019.100014,,,,Expert Syst. Appl. X,4,,,db/journals/eswax/eswax4.html#WangCY19,,,,,,,,,
"Manal Binkhonain, Liping Zhao 0001",A review of machine learning algorithms for identification and classification of non-functional requirements.,,2019,100001,https://doi.org/10.1016/j.eswax.2019.100001,,,,Expert Syst. Appl. X,1,,,db/journals/eswax/eswax1.html#BinkhonainZ19,,,,,,,,,
Peter Ochieng,PAROT: Translating natural language to SPARQL.,,2020,100024,https://doi.org/10.1016/j.eswax.2020.100024,,,,Expert Syst. Appl. X,5,,,db/journals/eswax/eswax5.html#Ochieng20,,,,,,,,,
