author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Baris Güldali,Integrating contract-based testing into model-driven software development.,University of Paderborn,2015,,"https://nbn-resolving.org/urn:nbn:de:hbz:466:2-16433, https://d-nb.info/1073201511",,,,,,,,,,,,,,,,,
Bastian Blankenburg,Coalition formation among rational agents in uncertain and untrustworthy environments.,Saarland University,2014,,"http://scidok.sulb.uni-saarland.de/volltexte/2014/5742/, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-57426, https://d-nb.info/1053980671",,,,,,,,,,,,,,,,,
Michael Hergenhahn,Verteilung von Datenverarbeitungs-Ressourcen in rechnergestützten Informationssystemen.,"Goethe University Frankfurt am Main, Germany",1985,1-197,https://d-nb.info/860004139,FWI-Verlag,,,,,,,,,,,,,978-3-923001-04-0,,,
Wolfram Sperber,Zur Existenz optimaler Steuerungen bei Kontrollproblemen mit parabolischen Zustandsgleichungen.,"Freiberg University of Mining and Technology, Germany",1980,,https://d-nb.info/820235415,,,,,,,,,,,,,,,,,
Daniel Baumann,Validierung einer App als Hilfsmittel zur Medikamentendosierung in der präklinischen Notfallmedizin.,"University of Hamburg, Germany",2019,,https://d-nb.info/1192451376,,,,,,,,,,,,,,,,,
Markus Petschacher,Zuverlässigkeit technischer Systeme: computerunterstützte Verarbeitung von stochastischen Grössen mit dem Programm VaP.,"ETH Zurich, Switzerland",1993,,https://d-nb.info/931995604,,,,,,,,,,,,,,,,,
Muhammad Jawad,Interactive visual analysis of spectroscopy imaging data.,"WWU Münster, Germany",2021,1-94,https://d-nb.info/1231946482,,,,,,,,,,,,,,,,,
Claudia Riegel,Entwicklung eines interaktiven Lernprogrammes im Bereich Volkswirtschaftstheorie am Beispiel des Modells der Portfolio Selection: modelltheoretische und lernprogrammtechnische Grundlagen.,"University of Erlangen-Nuremberg, Germany",1992,1-169,https://d-nb.info/921536313,,,,,,,,,,,,,,,,,
Andre Richter,Mitigating and Resolving Performance Isolation Issues of PCIe Passthrough and SR-IOV in Multi-Core Virtualization.,"Technical University Munich, Germany",2017,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20171117-1356714-1-2, https://d-nb.info/1147968144",,,,,,,,,,,,,,,,,
Katja Auernhammer,Mask-based Black-box Attacks on Safety-Critical Systems that Use Machine Learning.,"University of Erlangen-Nuremberg, Germany",2021,,"https://opus4.kobv.de/opus4-fau/frontdoor/index/index/docId/16892, https://nbn-resolving.org/urn:nbn:de:bvb:29-opus4-168921, https://d-nb.info/1238358292",,,,,,,,,,,,,,,,,
Wolf Pfannenstiel,Piecewise execution of nested data-parallel programs.,"Technical University of Berlin, Germany",2001,1-248,https://d-nb.info/96075265X,dissertation.de,,,,,,,,,,,,,978-3-89825-233-1,,,
Ulan Degenbaev,Formal specification of the x86 instruction set architecture.,Saarland University,2012,,"http://scidok.sulb.uni-saarland.de/volltexte/2012/4707/, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-47072, https://d-nb.info/105227885X",,,,,,,,,,,,,,,,,
Roland Sessner,Die direkte Suche - ein heuristisches Verfahren zur Behandlung ganzzahliger quadratischer Optimierungsprobleme.,"Technical University Leuna-Merseburg, Germany",1980,,https://d-nb.info/820148431,,,,,,,,,,,,,,,,,
Norbert Bela Maria Olah,Das Reafferenzprinzip als Kompensationsstrategie in der Kybernetik.,"University of Düsseldorf, Germany",2001,1-136,"http://www.ulb.uni-duesseldorf.de/diss/mathnat/2001/olah.pdf, https://nbn-resolving.org/urn:nbn:de:hbz:061-20010625-000077-7, https://d-nb.info/962682705, https://d-nb.info/962694037",VDI-Verlag,,,,,,,,,,,,,978-3-18-389908-1,,,
Kilian von Neumann-Cosel,Virtual Test Drive: Simulation umfeldbasierter Fahrzeugfunktionen.,Technical University Munich,2014,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20140206-1126934-0-2, https://d-nb.info/1050577604",,,,,,,,,,,,,,,,,
Miroslav Kotzev,Probing and fixturing techniques for wideband multiport measurements in digital packaging.,Hamburg University of Technology,2013,,"http://doku.b.tu-harburg.de/volltexte/2013/1210, https://nbn-resolving.org/urn:nbn:de:gbv:830-tubdok-12101, https://d-nb.info/1048574180",,,,,,,,,,,,,,,,,
Friedemann Schmid,Ein zweidimensionales mathematisches Modell zur Berechnung von Temperatur- und Geschwindigkeitsfeldern in konventionell beheizten Glasschmelzwannen unter Verwendung neuartiger Differenzenformeln und mit verbesserter Berücksichtigung des Durchsatzes.,"Hochschule für Architektur und Bauwesen, Weimar, Germany",1982,,https://d-nb.info/840342462,,,,,,,,,,,,,,,,,
Vladimir Herdt,"Efficient modeling, verification and analysis techniques to enhance the virtual prototype based design flow for embedded systems.","University of Bremen, Germany",2019,1-286,https://d-nb.info/1211641988,,,,,,,,,,,,,,,,,
Dennis Nolte,Analysis and Abstraction of Graph Transformation Systems via Type Graphs.,"University of Duisburg-Essen, Germany",2019,,"https://duepublico2.uni-due.de/receive/duepublico_mods_00070359, https://nbn-resolving.org/urn:nbn:de:hbz:464-20190821-100424-8, https://d-nb.info/1193590825",,,,,,,,,,,,,,,,,
Jörg Cordsen,Virtueller gemeinsamer Speicher.,"Technical University of Berlin, Germany",1996,1-193,https://d-nb.info/948688335,Oldenbourg,,,,,,,,,,,,,3-486-24063-3,,,
Dieter Bühler,Einbindung von Geräten in Internet-basierte Informationssysteme mit Java und XML.,"University of Tübingen, Germany",2002,1-266,"http://w210.ub.uni-tuebingen.de/dbt/volltexte/2002/472/index.html, https://nbn-resolving.org/urn:nbn:de:bsz:21-opus-4720, https://d-nb.info/964081431, https://d-nb.info/96430693X",,,,,,,,,,,,,,,,,
Hans Gilgen,Bezugnahme von MSS-Daten (Multispektral-Scanner-Daten) auf bestehende digitale Datenbasen.,"ETH Zurich, Zürich, Switzerland",1981,,https://d-nb.info/830209123,,,,,,,,,,,,,,,,,
Martin Heller,Anwendung informationstechnischer Methoden zur computergestützten statischen Berechnung ebener Flächentragwerke.,"University of Hanover, Germany",1994,1-140,https://d-nb.info/943363004,,,,,,,,,,,,,,,,,
Matthias Schwamborn,Geographische Restriktionen bei menschlicher Bewegungsmodellierung zur Leistungsbewertung in mobilen Netzen.,"University of Osnabrück, Germany",2017,,https://d-nb.info/1149069600,GCA-Verlag,,,,,,,,,,,,,978-3-89863-267-6,,,
Kurt Arnold,Verwendung orthonormaler Funktionen zur Sprachanalyse und Sprachsynthese im Zeitbereich.,"Kaiserslautern University of Technology, Germany",1985,1-143,https://d-nb.info/860305872,,,,,,,,,,,,,,,,,
Ingrid Voigt,Entscheidungshilfen zur Gestaltung von FuE-Programmen der Mikroelektronik.,"University of Jena, Germany",1991,,https://d-nb.info/945226780,,,,,,,,,,,,,,,,,
Mehwish Saleemi,Coding Theory via Groebner Bases.,Hamburg University of Technology,2012,,"http://www.dr.hut-verlag.de/978-3-8439-0680-7.html, https://nbn-resolving.org/urn:nbn:de:101:1-2012121012126, https://d-nb.info/1028785445",Verlag Dr. Hut,,,,,,,,,,,,,,,,
Rolf Pokorny,Ein one-line-Verfahren zur klassifizierten Mittelung evozierter Potentiale nach dem Leistungsspektrum des EEG durch ein Laborrechner-Mikroprozessor-System.,"University of Erlangen-Nuremberg, Germany",1983,1-114,https://d-nb.info/840822731,,,,,,,,,,,,,,,,,
Henry Driesel,Ein Beitrag zum dialogorientierten rechnergestützten Entwurf von digitalen Regelungssystemen.,"Technische Hochschule Ilmenau, Germany",1985,,https://d-nb.info/861008952,,,,,,,,,,,,,,,,,
Heinz G. Fehn,Untersuchungen von Mehrwegesuchverfahren zur Codierung von Modell- und Sprachquellen.,"University of Bremen, Germany",1982,1-134,https://d-nb.info/820818046,Minerva-Publikation,,,,,,,,,,,,,978-3-597-10131-2,,,
Axel Becker,Automatische Fehlerbaumerstellung.,"Technical University of Berlin, Germany",1983,,https://d-nb.info/840678541,,,,,,,,,,,,,,,,,
Andreas Jusek,Detektion unbekannter Wörter in gesprochener Sprache.,Bielefeld University,1997,1-125,https://d-nb.info/949819077,Jacobs,,,,,,,,,,,,,3-932136-07-1,,,
Helmut Josef Kopp,Strukturanalyse und Optimierung einer Vielbus Architektur zur Datenerfassung.,"RWTH Aachen University, Germany",1995,1-118,https://d-nb.info/943804698,,,,,,,,,,,,,,,,,
Claas Ahlrichs,Development and Evaluation of AI-based Parkinson's Disease Related Motor Symptom Detection Algorithms.,University of Bremen,2015,1-241,"http://elib.suub.uni-bremen.de/edocs/00104618-1.pdf, https://nbn-resolving.org/urn:nbn:de:gbv:46-00104618-16, https://d-nb.info/1074765192, https://d-nb.info/1075609321",,,,,,,,,,,,,,,,,
Viktor Rumenov Bochev,Die Rolle visueller und handlungsbezogener Objekteigenschaften für die Repräsentation von Objekten natürlicher und artifizieller Kategorie.,University of Ulm,2012,,"http://vts.uni-ulm.de/docs/2012/8034/vts_8034_11683.pdf, https://nbn-resolving.org/urn:nbn:de:bsz:289-vts-80345, https://d-nb.info/1023729091",,,,,,,,,,,,,,,,,
Renate Forkel,Ein zweidimensionales numerisches Modell zur Nebelprognose.,"University of Mainz, Germany",1986,,https://d-nb.info/870831356,,,,,,,,,,,,,,,,,
Anke Hajduch,Kapitalistisch genutzte Personalinformationssysteme als qualitativ neues Instrumentarium zur Ökonomisierung der lebendigen Arbeit und zur Herrschaftssicherung - am Beispiel der BRD.,"Dresden University of Technology, Germany",1987,,https://d-nb.info/880768355,,,,,,,,,,,,,,,,,
Dietrich Spielberg,Ein Modell für die Simulation der Funktionen numerisch gesteuerter Werkzeugmaschinen und seine Verwendung für die Kontrolle von NC-Steuerprogrammen.,"Technische Hochschule Karl-Marx-Stadt, Germany",1984,,https://d-nb.info/850034469,,,,,,,,,,,,,,,,,
Stephan Pfletschinger,Multicarrier modulation for broadband return channels in cable TV networks.,"University of Stuttgart, Germany",2003,1-138,https://d-nb.info/967400546,Shaker,,,,,,,,,,,,,978-3-8322-1437-1,,,
Maximilian Heinig,Design and evaluation of the motor assisted robotic stereotaxy system MARS.,University of Lübeck,2012,,"http://www.students.informatik.uni-luebeck.de/zhb/ediss1155.pdf, https://nbn-resolving.org/urn:nbn:de:gbv:841-2012101553, https://d-nb.info/1027567320",,,,,,,,,,,,,,,,,
Lukas Everding,Event-based Depth Reconstruction Using Stereo Dynamic Vision Sensors.,"Technical University Munich, Germany",2018,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20181114-1445947-1-8, https://d-nb.info/1178672212",,,,,,,,,,,,,,,,,
Thomas Wiemers,Teststrategien für integrierte Schaltungen unter Verwendung von Hardware-Beschreibungs-Hochsprachen im Entwurfsprozeß.,University of Duisburg-Essen,1997,1-127,https://d-nb.info/95373093X,,,,,,,,,,,,,,,,,
Ulrich von Petersdorff,Die Bildschirmtextzentrale eine Fernmeldeanlage - Bildschirmtext ein Fernmeldedienst: eine verfassungsrechtliche Untersuchung zu den Postaufgaben bei der Einführung eines neuen Mediums.,"Free University of Berlin, Dahlem, Germany",1982,1-237,https://d-nb.info/830858148,,,,,,,,,,,,,,,,,
Claudia Fuchs,Extraktion polymorpher Bildstrukturen und ihre topologische und geometrische Gruppierung.,"University of Bonn, Germany",1998,1-186,https://d-nb.info/955793483,Beck,,,,,,,,,,,,,978-3-7696-9541-0,,,
Francisco Kiss,Reshaping ubiquitous interaction through sensory augmentation.,"University of Stuttgart, Germany",2020,,"https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-113715, https://d-nb.info/1230409742",,,,,,,,,,,,,,,,,
Ulf Kreuziger,Entwicklung georeferenzierender Augmented Reality Systeme auf Mobilgeräten mit Mikrosensoren.,"University of Bamberg, Germany",2017,,"https://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/48985, https://nbn-resolving.org/urn:nbn:de:bvb:473-opus4-489856, https://d-nb.info/1132582105",,,,,,,,,,,,,,,,,
Christoph Skudelny,Entwicklung eines simulationsgestützten Optimierungsmodells zur Planung flexibler Produktionssysteme: ein Beitrag zur Effizienzsteigerung bei der Durchführung von Planungsprojekten.,"RWTH Aachen University, Germany",1994,,https://d-nb.info/940402548,Shaker,,,,,,,,,,,,,978-3-86111-835-0,,,
Anna Rohrbach,Generation and grounding of natural language descriptions for visual data.,"Saarland University, Saarbrücken, Germany",2017,,"http://scidok.sulb.uni-saarland.de/volltexte/2017/6874/, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-68749, https://d-nb.info/113349207X",,,,,,,,,,,,,,,,,
Nicolai Schroer,Design and Evaluation of the IBL BOC for the ATLAS Experiment at CERN.,University of Mannheim,2012,,"https://ub-madoc.bib.uni-mannheim.de/32927, https://nbn-resolving.org/urn:nbn:de:bsz:180-madoc-329270, https://d-nb.info/1034490354",,,,,,,,,,,,,,,,,
Pedro Hurtado de Mendoza Borges,Rechnergestützte Berechnungsvorschriften ausgewählter Maschinenelemente von Trommelhäcksleraggregaten.,"University of Rostock, Germany",1991,,https://d-nb.info/911281959,,,,,,,,,,,,,,,,,
Thomas Becker 0006,Transparente Fehlertoleranz in verteilten Systemen.,"Kaiserslautern University of Technology, Germany",1996,1-218,https://d-nb.info/946929238,Shaker,,,,,,,,,,,,,3-8265-1194-8,,,
Mansor Mansori,On-Line-Identifikation dynamischer Randnetze aus gemessenen Netzzustandsänderungen.,"Technical University of Berlin, Germany",1994,1-126,https://d-nb.info/940060299,Köster,,,,,,,,,,,,,978-3-929937-48-0,,,
Uwe Vogel,Strukturdatengewinnung und 3D-Visualisierung des menschlichen Hörorgans.,"Dresden University of Technology, Germany",1999,1-168,https://d-nb.info/959242856,,,,,,,,,,,,,,,,,
Stefan Zickenheiner,Ein Neuro-Compiler für eine assoziative Datenflußarchitektur.,"Goethe University Frankfurt, Frankfurt am Main, Germany",1998,,https://d-nb.info/954607368,,,,,,,,,,,,,,,,,
Rainer Trautloft,Technologische und strukturelle Aspekte bei der Entwicklung flexibler Software für Automatisierte Informationssysteme.,"Technische Hochschule Karl-Marx-Stadt, Germany",1987,,https://d-nb.info/900075201,,,,,,,,,,,,"Dissertation B, former GDR",,,,,
Jürgen Vollmer 0002,Effiziente Erzeugung harmonischer Schwingungen hoher spektraler Reinheit.,University of Paderborn,1997,1-123,https://d-nb.info/952131536,Cuvillier,,,,,,,,,,,,,3-89588-978-4,,,
Andreas Geyer-Schulz,Unscharfe Mengen im Operations-Research.,"Vienna University of Economics and Business, Austria",1986,1-332,https://d-nb.info/860606910,,,,,,,,,,,,,,978-3-85369-640-8,,,
Alireza Azem,Software reliability determination for conventional and logic programming.,"University of Paderborn, Germany",1994,1-192,https://d-nb.info/944228372,,,,,,,,,,,,,,,,,
Julian Seifert,Mobile mediated interaction with pervasive displays.,University of Ulm,2015,,"http://vts.uni-ulm.de/docs/2015/9426/vts_9426_14197.pdf, https://nbn-resolving.org/urn:nbn:de:bsz:289-vts-94268, https://d-nb.info/1066736472",,,,,,,,,,,,,,,,,
Florian Klein 0002,Metadaten-Verwaltung in einem verteilten RAM-basierten Speicherdienst.,Heinrich Heine University Düsseldorf,2015,,"http://docserv.uni-duesseldorf.de/servlets/DocumentServlet?id=36464, https://nbn-resolving.org/urn:nbn:de:hbz:061-20151202-144245-2, https://d-nb.info/1079652574",,,,,,,,,,,,,,,,,
Bernhard R. Kämmerer,Sprecheradaption und Reduktion der Sprecherabhängigkeit für die automatische Spracherkennung.,"University of Erlangen-Nuremberg, Germany",1989,1-136,https://d-nb.info/891156658,,,,,,,,,,,,,,,,,
Karl-Heinz Steinke,Entwicklung von Mustererkennungsverfahren zur textunabhängigen Analyse von Handschriftenbildern.,"RWTH Aachen University, Germany",1981,1-160,https://d-nb.info/820348597,,,,,,,,,,,,,,,,,
Dieter Richter,Grundlagen der Produktdatenorganisation.,"Academy of Sciences of the German Democratic Republic, Germany",1988,,https://d-nb.info/900075554,,,,,,,,,,,,,,,,,
Thomas Beer,Plattform zur kollaborativen Simulation und Visualisierung von Szenarien des Integrative Computational Materials Engineering.,"RWTH Aachen University, Germany",2017,1-192,"http://www.dr.hut-verlag.de/978-3-8439-3125-0.html, https://nbn-resolving.org/urn:nbn:de:101:1-20170619933, https://d-nb.info/1131097505, https://d-nb.info/1135595925",Dr. Hut,,,,,,,,,,,,,978-3-8439-3125-0,,,
Felix Sattelberger,[Dynamik und konative Wirkung onlinebasierter interpersonal-öffentlicher Nutzerkommunikation] ; Dynamik und Wirkung von Nutzerkommunikation über Kinofilme.,"University of Jena, Germany",2020,1-377,"https://nbn-resolving.org/urn:nbn:de:101:1-2020102403284488721457, https://d-nb.info/1214753159, https://d-nb.info/1220161810",Nomos,,,,,,,,,,,,,978-3-8487-6620-8,,,
Vladimir Barak,Systemmigration: Strategien für die Informatik.,Johannes Gutenberg University Mainz,1997,1-197,https://d-nb.info/950418137,,,,,,,,,,,,,,3-8244-2084-8,,,
Dieter Werner,Zur Problematik der Implementierung problemorientierter Betriebssysteme für Mikrorechner.,"Dresden University of Technology, Germany",1981,,https://d-nb.info/830669507,,,,,,,,,,,,,,,,,
Kim Sebastian Herzig,Mining and untangling change genealogies.,Saarland University,2013,,"http://scidok.sulb.uni-saarland.de/volltexte/2013/5273/, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-52730, https://d-nb.info/105290307X",,,,,,,,,,,,,,,,,
Matthias Dietzen,Modeling protein interactions in protein binding sites and oligomeric protein complexes.,Saarland University,2014,,"http://scidok.sulb.uni-saarland.de/volltexte/2014/5940/, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-59402, https://d-nb.info/1063330718",,,,,,,,,,,,,,,,,
Steffen Wolf 0001,Machine Learning for Instance Segmentation.,"University of Heidelberg, Germany",2020,,"http://www.ub.uni-heidelberg.de/archiv/28353, https://nbn-resolving.org/urn:nbn:de:bsz:16-heidok-283535, https://d-nb.info/1211090493",,,,,,,,,,,,,,,,,
Marco X. Bornschlegl,Advanced Visual Interfaces Supporting Distributed Cloud-Based Big Data Analysis.,"University of Hagen, Germany",2019,,"https://ub-deposit.fernuni-hagen.de/receive/mir_mods_00001502, https://nbn-resolving.org/urn:nbn:de:hbz:708-dh9740, https://d-nb.info/1182680356",,,,,,,,,,,,,,,,,
Wolfgang Günther 0002,Entwicklung einer offenen Fachsprache für ein freiprogrammierbares Steuer- und Regelgerät auf Mikroprozessorbasis.,"Technische Hochschule Magdeburg, Germany",1988,,https://d-nb.info/900824255,,,,,,,,,,,,,,,,,
Barbara Hausmann,Anschauliche Geometrie: computergestützte Visualisierung geometrischer Strukturen.,"University of Erlangen-Nuremberg, Germany",1995,1-154,https://d-nb.info/946905843,,,,,,,,,,,,,,,,,
Björn Werkmann,MapCube: a Mobile Focus & Context Information Visualization Technique for Geographic Maps : Location Based Service Context Model and a Prototypical Implementation for Ridesharing Scenarios Evaluated Using an Empirical User Study.,FernUniversität in Hagen,2016,,"https://nbn-resolving.org/urn:nbn:de:hbz:708-30527, https://d-nb.info/1081565640",,,,,,,,,,,,,,,,,
Renate Klempien-Hinrichs,Context free hypergraph grammars: node and hyperedge rewriting with an application to Petri nets.,"University of Bremen, Germany",2001,1-170,https://d-nb.info/962336815,,,,,,,,,,,,,,978-3-8311-2674-3,,,
Amr El-Desoky Mousa,Sub-word based language modeling of morphologically rich languages for LVCSR.,RWTH Aachen University,2014,1-132,"http://darwin.bth.rwth-aachen.de/opus3/volltexte/2014/5085, https://nbn-resolving.org/urn:nbn:de:hbz:82-opus-50850, https://d-nb.info/1058421905, https://d-nb.info/1058638653",,,,,,,,,,,,,,,,,
Thomas Romeyke,Verschnittplanungsverfahren für Flächen mit beliebigen Konturen.,"University of Kiel, Germany",1989,1-180,https://d-nb.info/891482148,JR-Verlag,,,,,,,,,,,,,978-3-925765-04-9,,,
Jürgen Sieck,Die Kanalverdrahtung.,"Humboldt University of Berlin, Germany",1988,,https://d-nb.info/900072822,,,,,,,,,,,,,,,,,
Michael Ritter,Modeling of flow control mechanisms for the available bit rate service.,"Julius Maximilians University Würzburg, Germany",1998,1-160,https://d-nb.info/95729493X,,,,,,,,,,,,,,,,,
Wolfgang Bruns,Zur Verifikation paralleler Prozesse in Ada.,"Braunschweig University of Technology, Germany",1990,1-154,https://d-nb.info/910594325,,,,,,,,,,,,,,,,,
Niels Burkhardt,A hardware verification methodology for an interconnection network with fast process synchronization.,University of Mannheim,2012,1-160,"https://ub-madoc.bib.uni-mannheim.de/33110, https://nbn-resolving.org/urn:nbn:de:bsz:180-madoc-331107, https://d-nb.info/1034637320, https://d-nb.info/1042332142",,,,,,,,,,,,,,,,,
Thomas C. Sprenger,IVORY - an object oriented framework for physics based information visualization.,"ETH Zurich, Zürich, Switzerland",2002,1-190,https://d-nb.info/964568519,Hartung-Gorre,,,,,,,,,,,,,978-3-89649-790-1,,,
Rüdiger Reischuk,"Beziehungen zwischen Rechenzeit, Speicherplatz und Speicherstruktur.","University of Bielefeld, Germany",1979,,https://d-nb.info/801288320,,,,,,,,,,,,,,,,,
Castulus Kolo,Computersimulationen als Instrument der Prozeßanalyse in der Ethnologie.,Ludwig Maximilians University Munich,1997,1-215,https://d-nb.info/950572330,,,,,,,,,,,,,,3-8258-3321-6,,,
Avikarsha Mandal,On security and privacy of consensus-based protocols in blockchain and smart grid.,"University of Mannheim, Germany",2020,,"https://madoc.bib.uni-mannheim.de/55715, https://nbn-resolving.org/urn:nbn:de:bsz:180-madoc-557155, https://d-nb.info/1215032641",,,,,,,,,,,,,,,,,
Marc-Denis Weitze,Untersuchungen zur Evolution cortikaler Strukturen in biologisch relevanten Computermodellen.,Technical University Munich,1997,1-148,https://d-nb.info/952652048,Hieronymus,,,,,,,,,,,,,3-933083-11-7,,,
Klemens Schnattinger,"AQUA: ein qualitativer, terminologischer Ansatz zur Generierung, Bewertung und Selektion von Lernhypothesen im Textverstehenssystem SYNDIKATE.","University of Freiburg, Freiburg im Breisgau, Germany",1998,1-274,https://d-nb.info/955264529,Verlag Neue Wiss.,,,,,,,,,,,,,978-3-932492-14-3,,,
Richard Weber 0002,Entwicklung und Anwendung von Verfahren zur automatischen Akquisition unsicheren Wissens.,"RWTH Aachen University, Germany",1992,1-224,https://d-nb.info/931256283,VDI-Verlag,,,,,,,,,,,,,978-3-18-141110-0,,,
Jana Lewerenz,Automatic generation of human computer interaction in heterogeneous and dynamic environments based on conceptual modelling.,"Brandenburg University of Technology, Cottbus - Senftenberg, Germany",2000,,"http://www.ub.tu-cottbus.de/hss/diss/fak1/lewerenz_j/pdf/diss_lewerenz.pdf, https://nbn-resolving.org/urn:nbn:de:kobv:co1-000000063, https://d-nb.info/961423722, https://d-nb.info/961926600",,,,,,,,,,,,,,,,,
Paul Eisner,Strukturierte Software-Wartung.,"University of Zurich, Zürich, Switzerland",1988,1-192,https://d-nb.info/944623956,,,,,,,,,,,,,,,,,
Daniel Gröger,Digital fabrication of custom interactive objects with rich materials.,"Saarland University, Saarbrücken, Germany",2019,,"https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/28505, https://nbn-resolving.org/urn:nbn:de:bsz:291--ds-300723, https://d-nb.info/1202039995",,,,,,,,,,,,,,,,,
Thomas Demuth,Ein Beitrag zur Anonymität in Kommunikationsnetzen.,"University of Hagen, Germany",2003,1-255,https://d-nb.info/967916275,Shaker,,,,,,,,,,,,,978-3-8322-1650-4,,,
Anna Vögele,Patterns in Motion - From the Detection of Primitives to Steering Animations.,"University of Bonn, Germany",2016,,"http://hss.ulb.uni-bonn.de/2016/4484/4484.htm, https://nbn-resolving.org/urn:nbn:de:hbz:5n-44845, https://d-nb.info/1122193777",,,,,,,,,,,,,,,,,
Christian Gaudes,"Zur Anwendung von Prioritätsalgorithmen bei der Lösung eines Ablaufproblems in diskontinuierlichen, diskreten Produktionsprozessen.","Dresden University of Technology, Germany",1978,,https://d-nb.info/820783056,,,,,,,,,,,,,,,,,
Andreas Barbian,"Skalierbare Datenverwaltung in einem auf Zufallsgraphen basierten, verteilten System für interaktive Anwendungen.","University of Düsseldorf, Germany",2017,,"http://docserv.uni-duesseldorf.de/servlets/DocumentServlet?id=40884, https://nbn-resolving.org/urn:nbn:de:hbz:061-20170124-101506-3, https://d-nb.info/1124132694",,,,,,,,,,,,,,,,,
Rüdiger Thomas,"Untersuchungen über Ursachen und Wirkungen des räumlichen Aliasings in der seismischen Datenbearbeitung, insbesondere bei der Migration.","Clausthal University of Technology, Germany",1992,1-177,https://d-nb.info/930854179,,,,,,,,,,,,,,,,,
Oliver Wannenwetsch,Long-Term Location-Independent Research Data Dissemination Using Persistent Identifiers.,"Universitoy of Göttingen, Germany",2017,,"https://nbn-resolving.org/urn:nbn:de:gbv:7-11858/00-1735-0000-0023-3DEE-1-8, https://d-nb.info/1128902540",,,,,,,,,,,,,,,,,
Andreas Heidinger,"Computersoftware, Rechtsschutz und gegenständliche Lizenz: ein rechtsdogmatischer Beitrag zu den Softwareüberlassungsverträgen.","Julius Maximilians University Würzburg, Germany",1992,1-295,https://d-nb.info/940892545,,,,,,,,,,,,,,,,,
Simone Fischer-Hübner,IDA (Intrusion Detection and Avoidance System): ein einbruchsentdeckendes und einbruchsvermeidendes System.,"University of Hamburg, Germany",1993,1-231,https://d-nb.info/930220307,Shaker,,,,,,,,,,,,,978-3-86111-334-8,,,
Anja Welsch,Erfolgsfaktoren eines multimedialen Mitarbeiterportals: eine evaluative Studie in der HypoVereinsbank.,"Ludwig Maximilian University of Munich, Germany",2003,1-210,https://d-nb.info/968433790,Eusl,,,,,,,,,,,,,978-3-933436-43-6,,,
Alexander Bauer 0002,Probabilistische Szenenmodelle für die Luftbildauswertung.,Karlsruhe Institute of Technology,2014,,"https://nbn-resolving.org/urn:nbn:de:0072-380530, https://d-nb.info/1051363675",KIT Scientific Publishing,,,,,,,,,,,,,,,,
Murti V. R. S. Devarakonda,"Joint matched filtering, decoding, and timing synchronization.",ETH Zurich,2012,1-155,https://d-nb.info/1020758783,Hartung-Gorre,,,,,,,,,,,,,978-3-86628-417-3,,,
Manuel Liedel,Sichere Mehrparteienberechnungen und datenschutzfreundliche Klassifikation auf Basis horizontal partitionierter Datenbanken.,University of Regensburg,2012,1-282,"http://epub.uni-regensburg.de/27630, https://nbn-resolving.org/urn:nbn:de:bvb:355-epub-276301, https://d-nb.info/1031558691, https://d-nb.info/1034577603",,,,,,,,,,,,,,,,,
Christoph Bunge,The development and evaluation of a provincial level health management information system in Cameroon = Entwicklung und Evaluierung eines Informationssystems für Provinzgesundheitsverwaltungen am Beispiel von Kamerun.,Justus Liebig University Giessen,1997,1-127,https://d-nb.info/951726617,Shaker,,,,,,,,,,,,,3-8265-2990-1,,,
Christian Borchart,Entwicklung und Anwendung eines Vorgehensmodells zur Unterstützung des objektorientierten Softwareentwicklungsprozesses am Beispiel eines CAD-Systems.,"University of Duisburg-Essen, Germany",1998,1-135,https://d-nb.info/952595028,Shaker,,,,,,,,,,,,,978-3-8265-3331-0,,,
Moritz Blume,Joint image and motion reconstruction for positron emission tomography.,Technical University Munich,2011,1-165,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20110912-1071361-1-6, https://d-nb.info/1015628508, https://d-nb.info/1018083340",,,,,,,,,,,,,,,,,
Philip Wette,Optimizing software-defined networks using application-layer knowledge.,University of Paderborn,2015,,"https://nbn-resolving.org/urn:nbn:de:hbz:466:2-16562, https://d-nb.info/1073944921",,,,,,,,,,,,,,,,,
Andreas Richei,Bewertung und Optimierung der Mensch-Maschine-Schnittstelle unter Nutzung der Fuzzy Set Theorie.,"Ruhr University Bochum, Germany",1998,1-228,https://d-nb.info/954912292,,,,,,,,,,,,,,,,,
